    rekon_id  sap_id                                norm_rekon                            norm_sap
0          3   27523              10216996pt3klhfarsudkalabahi        10216996pt3klhfarsudkalabahi
1          5   22436  10308372pt3rteffspiderwebricefieldcancar  10308372pt3rteffspiderwebricefield
2          6   12837          10319609pt3brencingbjwfmtarawaja    10319609pt3brencingbjwfmtarawaja
3          7    2255       10351104r5kpnmmrpt1josephferryputra         r5kpnmmrpt1josephferryputra
4          8   17660          10354924pt3mmrfcikanbakarjakarta      10590411pt3mmrikanbakarjakarta
6          9   20066         10366388pt1mmrfakpppratamamaumere   10366388pt3mmrfakpppratamamaumere
7         12   20777             10407455pt3lrtffwaiwerangkota       10407455pt3lrtffwaiwerangkota
8         14   13671    10501756pt3aprfbswastydewisalonandspaa   10501756pt3aprfbswastydewisalonan
9         15    2230     10528679pt3tnafhkerkhoffkeluargajacob  10528679pt3tnafhkerkhoffkeluargaja
10        16    2986                    10533223pt3bjwffaimere              10533223pt3bjwffaimere
11        21   15479  105944955nttjppinstan2024mmrapriliayonas          10594495pt3mmrapriliayonas
12        25   18870  10656951pt2lrtfakantorbupatiflotimaerial  10656951pt3lrtfhkantorbupatiflotim
13        27    1304          10697993pt2mmrfdbaratadept.store    10723991pt3mmrfdbaratadept.store
15        31   26432           10727556r5nttrterembongodcrtefd             r5nttrterembongodcrtefd
17        43   28231             55sdapospt3btsamaniyaodcposfg       55sdapospt3btsamaniyaodcposfg
18        46   19169         5dpr139715646366saupthisikeksanur   5dpr139715646366saupthisikeksanur
19        50   21122           5dprmmnpt3543135185rinamarliani     5dprmmnpt3543135185rinamarliani
20        53   16909         5dprtoppt31000453549thekulkulfarm   5dprtoppt31000453549thekulkulfarm
21        57   25798                   5jbrbckhempasarbenculuk       5jbrbckpt3b12023pasarbenculuk
22        58    8948               5jbrgenb22023mohammadikhwan         5jbrgenb22023mohammadikhwan
23        63   14030                    5jbrprjhemtokoabusairi             5jbrprjpt2tokoabusairi1
24        65   14698            5jbrsithemcctv1dishubsitubondo      5jbrsithemcctv1dishubsitubondo
25        69   23229                   5kdidrnpt3mtomyelfarisy             5kdidrnpt3mtomyelfarisy
26        72   21429                       5kdikbnpt3dwilikami                 5kdikbnpt3dwilikami
27        73    1777              5kdildypt3omochamadagussalim        5kdildypt3omochamadagussalim
28        79   24541    5kditrept3griyadamaibukitasriresidence   5kditrept3griyadamaibukitasriresi
29        81   25695    5kpgospperapiandanpembenahanodcospfn02         5kpgosppembenahanodcospfd06
30        82     230             5kpnlrtpt3fransiskussroatukan       5kpnlrtpt3fransiskussroatukan
31        83   18695           5kpnrtept3jennysrierikakacaribu     5kpnrtept3jennysrierikakacaribu
32        87    4894                         5mdnjgopt2saryono                   5mdnjgopt3hartono
33        88    1911          5mdnkdupt2wadangngasembojonegoro    5mdnkdupt2wadangngasembojonegoro
35        89   14955          5mdnlogpt3bayutirtadwitaerlangga    5mdnlogpt3bayutirtadwitaerlangga
36        94   17626                5mdnsarpt3agungsulistyawan          5mdnsarpt3agungsulistyawan
37        97   28069                  5mdnwkupt2cvwirelessindo            5mdnwkupt2cvwirelessindo
38        98   10253                        5mdrabupt3aresdaja                  5mdrabupt3aresdaja
39        99    5142                     5mdrbabpt3somorpenang               5mdrbabpt3somorpenang
40       100    1179        5mdrjpp22024bklpt3jl.rayabilaporah             5mdrbklpt3rayabilaporah
41       101   18816              5mdrkmlhem1000790815baimkost        5mdrkmlhem1000790815baimkost
42       102   27416                  5mdrpmebalaidesajtpmn084            5mdrpmebalaidesajtpmn139
44       104    3183                 5mdrwrppt3lebekpegantenan              5mdrpmept3jlpegantenan
47       112   15382               5mlgsbmpt2sitiarjo544701890         5mlgsbmpt3sitiarjo544763722
48       118   21228              5ntbhemsel1sgipenadegandor02            tselalfa1sgipenadegandor
49       124   20328                    5ntbunspecggkramatplan              5ntbunspecggkramatplan
50       128   17958            5nttprkpn202307140952071kpg182   5nttqeprevkpnprkpn202307140952071
51       130   21607                      5psngdwpt3abdrokhman                5psngdwpt3abdrokhman
52       131   23763                    5psnjtopt2nurilmarifah                  5psnjtopt2nsmariya
53       134   25825     5psnsdoapc2023grandcahayaclassicahill   5psnsdoapc2023grandcahayaclassica
54       147    9148     5sbucrmpt3patraraya,clustertonegarden   5sbucrmpt3patraraya,clustertonega
55       151   12105                       5sbumgopt3gundihgg2                 5sbumgopt3gundihgg2
57       155   20060              5sdabejpt3winong1kdpodcbejfg        5sdabejpt3winong1kdpodcbejfg
58       158    1823           5sdajompt3jpptsel27690odcjomfab      5sdapospt3jpptsel27563odcposfa
61       160    3278       5sdamippt3myid2402401110521odcmipfp   5sdamippt3myid2402401110521odcmip
62       161   19670              5sdangipt3tokobusugiodcngife        5sdangipt3tokobusugiodcngife
63       165    9428               5sgraprpt2nstokogaslpgaprfs         5sgraprpt2nstokogaslpgaprfs
64       170   17681  5sgrpuapt3desatitabtelaga,busungbiupuafc  5sgrpuapt3desatitabtelaga,busungbi
65       171    3257                 5sgrsgrpt3gaiaoasissgrfds           5sgrsgrpt3gaiaoasissgrfds
66       172   19125                5sgrtbn1000176656kntabanan       5sgrtbn1000275571smpn1tabanan
68       173   28781             5sgrubupt2dugulcellularubufbb       5sgrubupt2dugulcellularubufbb
69       183   18180                 desadepehakubutambahanmcp    5sgrsgrpt3desadepehakubutambahan
70       290     936                      kerelokowaikabubakfa                kerelokowaikabubakfa
71       320   26600                   pt1pt.thesixfloortbnfbf             pt1pt.thesixfloortbnfbf
