    rekon_id  sap_id                                  norm_rekon                             norm_sap
0         21    7340                10216996pt3klhfarsudkalabahi         10216996pt3klhfarsudkalabahi
1         23    7329    10308372pt3rteffspiderwebricefieldcancar   10308372pt3rteffspiderwebricefield
2         24    7447            10319609pt3brencingbjwfmtarawaja     10319609pt3brencingbjwfmtarawaja
3         25    7549         10351104r5kpnmmrpt1josephferryputra          r5kpnmmrpt1josephferryputra
4         26    7358            10354924pt3mmrfcikanbakarjakarta     10354924pt3mmrfcikanbakarjakarta
5         26    7368            10354924pt3mmrfcikanbakarjakarta       10590411pt3mmrikanbakarjakarta
6         28    7336     10358172pt3brencinglbofaawiwidjajaramli   10358172pt3brencinglbofaawiwidjaja
7         29    7340                10366263pt3klhfarsudkalabahi         10216996pt3klhfarsudkalabahi
8         30    7361           10366388pt1mmrfakpppratamamaumere    10366388pt3mmrfakpppratamamaumere
9         31    7445          10367207pt3brencingrtefsrsudruteng   10367207pt3brencingrtefsrsudruteng
10        32    7566     10368205pt3rtgfcmasjidbaiturramanruteng   10368205pt3rtgfmmasjidbaiturramanr
11        33    7355         10372781pt3mmrflamritamaumereresort   10372781pt3mmrflamritamaumereresor
12        35    7351                 10384646pt3bricabangmaumere          10384646pt3bricabangmaumere
13        36    7335              10393975pt3lbofebatucermincave       10393975pt3lbofebatucermincave
14        39    7348               10407455pt3lrtffwaiwerangkota        10407455pt3lrtffwaiwerangkota
15        40    7338           10407614pt3rtgfgprojectsiteruteng    10407614pt3rtgfgprojectsiteruteng
16        42    7357                   10420528pt3mmrerestabalik            10420528pt3mmrerestabalik
17        43    7448               10432079pt3bjwnorbertusremiru        10432079pt3bjwnorbertusremiru
18        46    7446               10457057pt3rteftmetodiusmakul        10457057pt3rteftmetodiusmakul
19        48    7457     10501756pt3aprfbswastydewisalonandspa(a    10501756pt3aprfbswastydewisalonan
20        49    7359                        10519609pt3mmrfaspbu                 10519609pt3mmrfaspbu
21        50    7333       10528679pt3tnafhkerkhoffkeluargajacob   10528679pt3tnafhkerkhoffkeluargaja
22        51    7332                 10528680pt3kpnfybhyperstore          10528680pt3kpnfybhyperstore
23        52    7449                      10533223pt3bjwffaimere               10533223pt3bjwffaimere
24        53    7337                10539430pt3rtgfcrevayahhotel         10567162pt3rtefcrevayahhotel
25        53    7517                10539430pt3rtgfcrevayahhotel         10539430pt3rtgfmrevayahhotel
26        56    7353            10546310pt3mmrfdbaratadept.store     10546310pt3mmrfdbaratadept.store
27        57    7352                  10546316pt3mmrfcvivafutsal           10546316pt3mmrfcvivafutsal
28        58    7339    10550723pt3klhfdkopditcitrahiduptribuana    10550723pt3klhfdkopditcitrahidupt
29        60    7341                10557401pt3lrtfbpulauadonara         10566054pt3lrtfbpulauadonara
30        60    7344                10557401pt3lrtfbpulauadonara         10559271pt3lrtfbpulauadonara
31        60    7347                10557401pt3lrtfbpulauadonara         10557401pt3lrtfbpulauadonara
32        61    7331          10557523pt3osphelenayuniwastihenuk   10557523pt3osphelenayuniwastihenuk
33        63    7334              10559045pt3klhjoelhendrikbanik       10559045pt3klhjoelhendrikbanik
34        64    7341                10559271pt3lrtfbpulauadonara         10566054pt3lrtfbpulauadonara
35        64    7344                10559271pt3lrtfbpulauadonara         10559271pt3lrtfbpulauadonara
36        64    7347                10559271pt3lrtfbpulauadonara         10557401pt3lrtfbpulauadonara
37        66    7343                   10559432pt3lrtmuhammadola            10559432pt3lrtmuhammadola
38        67    7342                   10559609pt3lrtfkwailolong            10559609pt3lrtfkwailolong
39        68    7346                    10559676pt3lrtfgwaiburak             10559676pt3lrtfgwaiburak
40        69    7341                10566054pt3lrtfbpulauadonara         10566054pt3lrtfbpulauadonara
41        69    7344                10566054pt3lrtfbpulauadonara         10559271pt3lrtfbpulauadonara
42        69    7347                10566054pt3lrtfbpulauadonara         10557401pt3lrtfbpulauadonara
43        71    7337                10567162pt3rtefcrevayahhotel         10567162pt3rtefcrevayahhotel
44        75    7358              10590411pt3mmrikanbakarjakarta     10354924pt3mmrfcikanbakarjakarta
45        75    7368              10590411pt3mmrikanbakarjakarta       10590411pt3mmrikanbakarjakarta
46        76    7550    105944955nttjppinstan2024mmrapriliayonas           10594495pt3mmrapriliayonas
47        80    7552                  10638038pt3rtefarsudruteng           10638038pt3rtefarsudruteng
48        83    7568   10656951pt2lrtfakantorbupatiflotiam(erial   10656951pt3lrtfhkantorbupatiflotim
49        86    7807                   10667243pt3bjwfjmarapokot            10667243pt3bjwfjmarapokot
50        88    7808          10692105pt3rtefarsudruteng(aerial)   10692105pt3rtefarsudruteng(aerial)
51        89    7810   10692890pt3lboffkantorbupatimanggaraibara   10692890pt3lboffkantorbupatimangga
52        90    7353            10697993pt2mmrfdbaratadept.store     10546310pt3mmrfdbaratadept.store
53        96    7353            10723991pt3mmrfdbaratadept.store     10546310pt3mmrfdbaratadept.store
54        97    7806                 10724031pt3mmrfdhotelpelita          10724031pt3mmrfdhotelpelita
55        99    7733             10727556r5nttrterembongodcrtefd              r5nttrterembongodcrtefd
56        99    7735             10727556r5nttrterembongodcrtefd              r5nttrterembongodcrtefp
57       100    7733             10727580r5nttrterembongodcrtefp              r5nttrterembongodcrtefd
58       100    7735             10727580r5nttrterembongodcrtefp              r5nttrterembongodcrtefp
